"CIF","CARDNUMBER","TRANSACTIONID"
31,"057-47-0307",321206
32,"731-01-3327",881294
33,"084-76-7037",358567
34,"667-88-5438",567057
35,"775-26-1206",546759
36,"723-13-7731",234158
37,"377-16-0536",328836
38,"588-25-0202",195451
39,"573-50-0347",136223
40,"801-64-4471",603129
41,"354-16-2062",823513
42,"837-86-6353",512952
43,"471-02-2438",359840
44,"745-84-5503",567860
45,"542-35-2342",464607
46,"161-78-0226",314988
47,"100-74-7353",184743
48,"821-51-0773",842003
49,"500-88-5554",307614
50,"362-64-7780",931539
51,"671-68-5564",167259
52,"060-11-2111",225165
53,"682-81-7633",984371
54,"710-87-8515",594577
55,"804-18-1012",760482
56,"117-77-0065",156663
57,"624-13-0454",106531
58,"328-13-7268",966212
59,"461-25-2550",781098
60,"347-47-0667",191785
61,"134-35-4852",336298
62,"105-66-5586",609855
63,"345-71-0885",609354
64,"636-02-3822",537541
65,"583-85-7164",540821
66,"803-22-4017",703061
67,"824-65-1518",783492
68,"348-74-5400",528650
69,"075-68-1033",770424
70,"428-12-4181",840257
71,"606-32-8656",486701
72,"810-82-6185",542674
73,"773-36-5267",973758
74,"011-20-5434",949169
75,"181-68-1544",406001
76,"816-73-7264",466647
77,"637-18-8217",702229
78,"427-26-4174",894203
79,"232-33-8711",635655
80,"323-08-2058",521328
81,"001-78-5567",515706
82,"478-83-4181",443440
83,"536-34-7814",192039
84,"478-07-6871",158467
85,"031-21-8088",225562
86,"842-34-2305",758633
87,"652-07-4277",148167
88,"458-65-8450",104142
89,"760-55-5756",529969
90,"664-42-2061",462443
91,"872-51-8188",136208
92,"623-81-7544",938819
93,"170-78-2658",893601
94,"481-16-5303",913263
95,"682-58-1827",949622
96,"504-33-0552",134757
97,"134-40-3885",646263
98,"438-28-8232",455637
99,"418-87-2656",779262
100,"160-61-7604",780422
1,"348-14-6088",850922
2,"285-83-6186",286710
3,"811-84-3310",366693
4,"773-80-8680",762139
5,"171-24-1530",285169
6,"110-44-7471",724644
7,"425-86-2712",978694
8,"830-04-7362",709353
9,"564-28-0407",452801
10,"077-14-3850",554342
11,"748-68-5701",531952
1,"348-14-6088",694575
2,"285-83-6186",240870
3,"811-84-3310",778245
4,"773-80-8680",799615
5,"171-24-1530",276910
6,"110-44-7471",188580
7,"425-86-2712",997153
8,"830-04-7362",365303
9,"564-28-0407",722623
10,"077-14-3850",714552
11,"748-68-5701",696484
12,"031-57-1657",105637
13,"142-35-0766",701914
14,"145-28-6565",547517
15,"112-63-6481",497091
16,"853-42-5384",928481
17,"832-23-2782",873223
18,"702-72-3427",148121
19,"010-51-1700",427755
20,"355-41-2463",770334
21,"725-05-6638",593393
22,"105-78-4218",465320
23,"043-88-2028",330621
24,"865-72-7506",930438
25,"565-50-8781",701698
26,"358-87-6367",131549
27,"778-08-5267",126105
28,"322-56-6040",816839
29,"417-50-2805",849464
30,"478-77-0168",297521
31,"057-47-0307",946076
32,"731-01-3327",586001
33,"084-76-7037",109597
34,"667-88-5438",463910
35,"775-26-1206",532609
36,"723-13-7731",451348
37,"377-16-0536",358972
38,"588-25-0202",885460
39,"573-50-0347",137666
40,"801-64-4471",801426
41,"354-16-2062",810565
42,"837-86-6353",219696
43,"471-02-2438",632901
44,"745-84-5503",389100
45,"542-35-2342",231705
46,"161-78-0226",638664
47,"100-74-7353",194710
48,"821-51-0773",581558
49,"500-88-5554",879050
50,"362-64-7780",672174
51,"671-68-5564",872112
52,"060-11-2111",767095
53,"682-81-7633",301029
54,"710-87-8515",661167
55,"804-18-1012",557899
56,"117-77-0065",985808
57,"624-13-0454",608417
58,"328-13-7268",871164
59,"461-25-2550",226455
60,"347-47-0667",145351
61,"134-35-4852",654371
62,"105-66-5586",897103
63,"345-71-0885",521315
64,"636-02-3822",466128
65,"583-85-7164",197357
66,"803-22-4017",156013
67,"824-65-1518",164880
68,"348-74-5400",897314
69,"075-68-1033",256513
70,"428-12-4181",329912
71,"606-32-8656",535931
72,"810-82-6185",275352
73,"773-36-5267",773907
74,"011-20-5434",522353
75,"181-68-1544",298696
76,"816-73-7264",900392
77,"637-18-8217",721188
78,"427-26-4174",659748
79,"232-33-8711",802001
80,"323-08-2058",879408
81,"001-78-5567",133862
82,"478-83-4181",600996
83,"536-34-7814",872162
84,"478-07-6871",420706
85,"031-21-8088",318848
86,"842-34-2305",924301
87,"652-07-4277",446302
88,"458-65-8450",107867
89,"760-55-5756",284051
90,"664-42-2061",740545
91,"872-51-8188",596473
92,"623-81-7544",316205
93,"170-78-2658",563041
94,"481-16-5303",191913
95,"682-58-1827",793713
96,"504-33-0552",176400
97,"134-40-3885",728867
98,"438-28-8232",138542
99,"418-87-2656",946328
100,"160-61-7604",344524
1,"348-14-6088",786205
2,"285-83-6186",230680
3,"811-84-3310",532684
4,"773-80-8680",639164
5,"171-24-1530",181897
6,"110-44-7471",114480
7,"425-86-2712",134041
8,"830-04-7362",566706
9,"564-28-0407",250213
10,"077-14-3850",609979
11,"748-68-5701",543081
1,"348-14-6088",256131
2,"285-83-6186",397884
3,"811-84-3310",746702
4,"773-80-8680",987906
5,"171-24-1530",613098
6,"110-44-7471",836434
7,"425-86-2712",961845
8,"830-04-7362",180547
9,"564-28-0407",339809
10,"077-14-3850",244222
11,"748-68-5701",175664
12,"031-57-1657",256209
13,"142-35-0766",630615
14,"145-28-6565",261455
15,"112-63-6481",143019
16,"853-42-5384",285056
17,"832-23-2782",241953
18,"702-72-3427",852130
19,"010-51-1700",554241
20,"355-41-2463",527480
21,"725-05-6638",639737
22,"105-78-4218",705742
23,"043-88-2028",923570
24,"865-72-7506",538571
25,"565-50-8781",404708
26,"358-87-6367",767896
27,"778-08-5267",134165
28,"322-56-6040",266483
29,"417-50-2805",611236
30,"478-77-0168",935011
31,"057-47-0307",510686
32,"731-01-3327",250568
33,"084-76-7037",286763
34,"667-88-5438",266005
35,"775-26-1206",133605
36,"723-13-7731",897980
37,"377-16-0536",547896
38,"588-25-0202",133886
39,"573-50-0347",238209
40,"801-64-4471",801612
41,"354-16-2062",432865
42,"837-86-6353",346327
43,"471-02-2438",437494
44,"745-84-5503",142570
45,"542-35-2342",999771
46,"161-78-0226",565945
47,"100-74-7353",271559
48,"821-51-0773",851199
49,"500-88-5554",814542
50,"362-64-7780",862200
51,"671-68-5564",420012
52,"060-11-2111",841334
53,"682-81-7633",957961
54,"710-87-8515",380729
55,"804-18-1012",507513
56,"117-77-0065",918026
57,"624-13-0454",515813
58,"328-13-7268",222446
59,"461-25-2550",681854
60,"347-47-0667",354591
61,"134-35-4852",919912
62,"105-66-5586",227336
63,"345-71-0885",382491
64,"636-02-3822",800213
65,"583-85-7164",749524
66,"803-22-4017",440711
67,"824-65-1518",768517
68,"348-74-5400",201404
69,"075-68-1033",903150
70,"428-12-4181",200314
71,"606-32-8656",346216
72,"810-82-6185",787868
73,"773-36-5267",799550
74,"011-20-5434",121891
75,"181-68-1544",272708
76,"816-73-7264",727120
77,"637-18-8217",528864
78,"427-26-4174",909713
79,"232-33-8711",577409
80,"323-08-2058",156746
81,"001-78-5567",324853
82,"478-83-4181",757862
83,"536-34-7814",397993
84,"478-07-6871",129997
85,"031-21-8088",774499
86,"842-34-2305",340751
87,"652-07-4277",651867
88,"458-65-8450",605574
89,"760-55-5756",580599
90,"664-42-2061",958329
91,"872-51-8188",712457
92,"623-81-7544",541640
93,"170-78-2658",908989
94,"481-16-5303",828768
95,"682-58-1827",678331
96,"504-33-0552",717955
97,"134-40-3885",953613
98,"438-28-8232",101691
99,"418-87-2656",202552
100,"160-61-7604",779997
1,"348-14-6088",305586
2,"285-83-6186",418452
3,"811-84-3310",821674
4,"773-80-8680",677822
5,"171-24-1530",857398
6,"110-44-7471",403977
7,"425-86-2712",218173
8,"830-04-7362",942824
9,"564-28-0407",972651
10,"077-14-3850",127575
11,"748-68-5701",222077
1,"348-14-6088",325191
2,"285-83-6186",425999
3,"811-84-3310",686538
4,"773-80-8680",613872
5,"171-24-1530",707690
6,"110-44-7471",538454
7,"425-86-2712",511089
8,"830-04-7362",281059
9,"564-28-0407",959276
10,"077-14-3850",759193
11,"748-68-5701",459921
12,"031-57-1657",650444
13,"142-35-0766",792174
14,"145-28-6565",876230
15,"112-63-6481",571672
16,"853-42-5384",246935
17,"832-23-2782",441808
18,"702-72-3427",450886
19,"010-51-1700",156280
20,"355-41-2463",516635
21,"725-05-6638",984452
22,"105-78-4218",600193
23,"043-88-2028",512125
24,"865-72-7506",358653
25,"565-50-8781",821776
26,"358-87-6367",638608
27,"778-08-5267",460865
28,"322-56-6040",743474
29,"417-50-2805",580275
30,"478-77-0168",502515
31,"057-47-0307",258829
32,"731-01-3327",753397
33,"084-76-7037",616621
34,"667-88-5438",749181
35,"775-26-1206",374045
36,"723-13-7731",984274
37,"377-16-0536",986124
38,"588-25-0202",158199
39,"573-50-0347",978342
40,"801-64-4471",255282
41,"354-16-2062",694318
42,"837-86-6353",332638
43,"471-02-2438",429456
44,"745-84-5503",547329
45,"542-35-2342",256478
46,"161-78-0226",270639
47,"100-74-7353",924025
48,"821-51-0773",210671
49,"500-88-5554",615540
50,"362-64-7780",956190
51,"671-68-5564",644983
52,"060-11-2111",247914
53,"682-81-7633",396043
54,"710-87-8515",366604
55,"804-18-1012",430764
56,"117-77-0065",488559
57,"624-13-0454",151202
58,"328-13-7268",308024
59,"461-25-2550",233345
60,"347-47-0667",873926
61,"134-35-4852",109591
62,"105-66-5586",835066
63,"345-71-0885",101393
64,"636-02-3822",484464
65,"583-85-7164",614092
66,"803-22-4017",888916
67,"824-65-1518",255521
68,"348-74-5400",187578
69,"075-68-1033",862793
70,"428-12-4181",490699
71,"606-32-8656",431329
72,"810-82-6185",656947
73,"773-36-5267",667042
74,"011-20-5434",105893
75,"181-68-1544",963727
76,"816-73-7264",212153
77,"637-18-8217",646259
78,"427-26-4174",713953
79,"232-33-8711",635940
80,"323-08-2058",367462
81,"001-78-5567",169112
82,"478-83-4181",873816
83,"536-34-7814",811540
84,"478-07-6871",163616
85,"031-21-8088",745401
86,"842-34-2305",327799
87,"652-07-4277",438667
88,"458-65-8450",441920
89,"760-55-5756",352824
90,"664-42-2061",705188
91,"872-51-8188",322362
92,"623-81-7544",990272
93,"170-78-2658",359952
94,"481-16-5303",169078
95,"682-58-1827",960174
96,"504-33-0552",769228
97,"134-40-3885",761139
98,"438-28-8232",150268
99,"418-87-2656",971423
100,"160-61-7604",320144
1,"348-14-6088",503317
2,"285-83-6186",433536
3,"811-84-3310",934939
4,"773-80-8680",848002
5,"171-24-1530",459247
6,"110-44-7471",317578
7,"425-86-2712",261441
8,"830-04-7362",434564
9,"564-28-0407",214881
10,"077-14-3850",616029
11,"748-68-5701",404269
1,"348-14-6088",784717
2,"285-83-6186",307356
3,"811-84-3310",829900
4,"773-80-8680",404114
5,"171-24-1530",143808
6,"110-44-7471",761881
7,"425-86-2712",613838
8,"830-04-7362",701856
9,"564-28-0407",431155
10,"077-14-3850",427323
11,"748-68-5701",436147
12,"031-57-1657",489677
13,"142-35-0766",700310
14,"145-28-6565",663068
15,"112-63-6481",912828
16,"853-42-5384",254501
17,"832-23-2782",724123
18,"702-72-3427",617121
19,"010-51-1700",841132
20,"355-41-2463",967943
21,"725-05-6638",179718
22,"105-78-4218",659432
23,"043-88-2028",706476
24,"865-72-7506",622564
25,"565-50-8781",506538
26,"358-87-6367",410861
27,"778-08-5267",492038
28,"322-56-6040",419664
29,"417-50-2805",689460
30,"478-77-0168",482029
31,"057-47-0307",170238
32,"731-01-3327",238675
33,"084-76-7037",664102
34,"667-88-5438",190066
35,"775-26-1206",173945
36,"723-13-7731",130794
37,"377-16-0536",742582
38,"588-25-0202",166410
39,"573-50-0347",838659
40,"801-64-4471",438879
41,"354-16-2062",306035
42,"837-86-6353",830092
43,"471-02-2438",802456
44,"745-84-5503",558727
45,"542-35-2342",167868
46,"161-78-0226",702673
47,"100-74-7353",231655
48,"821-51-0773",419716
49,"500-88-5554",125661
50,"362-64-7780",968321
51,"671-68-5564",320951
52,"060-11-2111",630323
53,"682-81-7633",474828
54,"710-87-8515",739185
55,"804-18-1012",221628
56,"117-77-0065",159406
57,"624-13-0454",465344
58,"328-13-7268",399684
59,"461-25-2550",836704
60,"347-47-0667",984040
61,"134-35-4852",724803
62,"105-66-5586",310244
63,"345-71-0885",530751
64,"636-02-3822",486578
65,"583-85-7164",156287
66,"803-22-4017",892650
67,"824-65-1518",616695
68,"348-74-5400",781336
69,"075-68-1033",710277
70,"428-12-4181",975302
71,"606-32-8656",157737
72,"810-82-6185",786884
73,"773-36-5267",713723
74,"011-20-5434",303948
75,"181-68-1544",397416
76,"816-73-7264",154731
77,"637-18-8217",937374
78,"427-26-4174",521907
79,"232-33-8711",139233
80,"323-08-2058",705975
81,"001-78-5567",641372
82,"478-83-4181",490119
83,"536-34-7814",559291
84,"478-07-6871",532009
85,"031-21-8088",814877
86,"842-34-2305",316754
87,"652-07-4277",450170
88,"458-65-8450",294146
89,"760-55-5756",684530
90,"664-42-2061",390478
91,"872-51-8188",631463
92,"623-81-7544",373646
93,"170-78-2658",231206
94,"481-16-5303",586376
95,"682-58-1827",518720
96,"504-33-0552",114640
97,"134-40-3885",669003
98,"438-28-8232",664789
99,"418-87-2656",381524
100,"160-61-7604",443599
1,"348-14-6088",230490
2,"285-83-6186",706387
3,"811-84-3310",691099
4,"773-80-8680",237066
5,"171-24-1530",777655
6,"110-44-7471",247579
7,"425-86-2712",983150
8,"830-04-7362",971974
9,"564-28-0407",821912
10,"077-14-3850",858167
11,"748-68-5701",375088
1,"348-14-6088",994056
2,"285-83-6186",281699
3,"811-84-3310",799884
4,"773-80-8680",758936
5,"171-24-1530",169384
6,"110-44-7471",162331
7,"425-86-2712",858132
8,"830-04-7362",489232
9,"564-28-0407",276747
10,"077-14-3850",200893
11,"748-68-5701",517191
12,"031-57-1657",861509
13,"142-35-0766",241415
14,"145-28-6565",683632
15,"112-63-6481",509601
16,"853-42-5384",248027
17,"832-23-2782",849393
18,"702-72-3427",837329
19,"010-51-1700",796129
20,"355-41-2463",822264
21,"725-05-6638",678649
22,"105-78-4218",601212
23,"043-88-2028",282482
24,"865-72-7506",479177
25,"565-50-8781",598311
26,"358-87-6367",639820
27,"778-08-5267",261308
28,"322-56-6040",780167
29,"417-50-2805",138762
30,"478-77-0168",179825
31,"057-47-0307",913004
32,"731-01-3327",590036
33,"084-76-7037",323599
34,"667-88-5438",144445
35,"775-26-1206",928887
36,"723-13-7731",289225
37,"377-16-0536",913044
38,"588-25-0202",958910
39,"573-50-0347",595417
40,"801-64-4471",636717
41,"354-16-2062",471836
42,"837-86-6353",422689
43,"471-02-2438",598762
44,"745-84-5503",268748
45,"542-35-2342",358317
46,"161-78-0226",769705
47,"100-74-7353",139009
48,"821-51-0773",986890
49,"500-88-5554",600769
50,"362-64-7780",512575
51,"671-68-5564",503867
52,"060-11-2111",863123
53,"682-81-7633",454360
54,"710-87-8515",824307
55,"804-18-1012",428748
56,"117-77-0065",905845
57,"624-13-0454",593685
58,"328-13-7268",157192
59,"461-25-2550",646615
60,"347-47-0667",704767
61,"134-35-4852",643221
62,"105-66-5586",418521
63,"345-71-0885",134488
64,"636-02-3822",464036
65,"583-85-7164",622765
66,"803-22-4017",403966
67,"824-65-1518",345083
68,"348-74-5400",541439
69,"075-68-1033",735445
70,"428-12-4181",717090
71,"606-32-8656",703452
72,"810-82-6185",569438
73,"773-36-5267",221886
74,"011-20-5434",416503
75,"181-68-1544",921285
76,"816-73-7264",399540
77,"637-18-8217",211670
78,"427-26-4174",434999
79,"232-33-8711",526572
80,"323-08-2058",133173
81,"001-78-5567",743775
82,"478-83-4181",396591
83,"536-34-7814",476714
84,"478-07-6871",716117
85,"031-21-8088",562197
86,"842-34-2305",594538
87,"652-07-4277",157624
88,"458-65-8450",272721
89,"760-55-5756",458478
90,"664-42-2061",333990
91,"872-51-8188",949214
92,"623-81-7544",395817
93,"170-78-2658",339390
94,"481-16-5303",863850
95,"682-58-1827",544293
96,"504-33-0552",491580
97,"134-40-3885",541554
98,"438-28-8232",355444
99,"418-87-2656",994032
100,"160-61-7604",510704
1,"348-14-6088",102757
2,"285-83-6186",120503
3,"811-84-3310",839103
4,"773-80-8680",196905
5,"171-24-1530",537674
6,"110-44-7471",813817
7,"425-86-2712",851680
8,"830-04-7362",107308
9,"564-28-0407",601279
10,"077-14-3850",648093
11,"748-68-5701",838063
1,"348-14-6088",580524
2,"285-83-6186",340346
3,"811-84-3310",584372
4,"773-80-8680",558893
5,"171-24-1530",655577
6,"110-44-7471",172707
7,"425-86-2712",898967
8,"830-04-7362",361984
9,"564-28-0407",647749
10,"077-14-3850",642920
11,"748-68-5701",382267
12,"031-57-1657",207733
13,"142-35-0766",586183
14,"145-28-6565",722321
15,"112-63-6481",192746
16,"853-42-5384",505480
17,"832-23-2782",492020
18,"702-72-3427",658714
19,"010-51-1700",314652
20,"355-41-2463",911130
21,"725-05-6638",345065
22,"105-78-4218",690894
23,"043-88-2028",621732
24,"865-72-7506",561068
25,"565-50-8781",106652
26,"358-87-6367",842698
27,"778-08-5267",726068
28,"322-56-6040",780387
29,"417-50-2805",139347
30,"478-77-0168",155354
31,"057-47-0307",622261
32,"731-01-3327",709976
33,"084-76-7037",328656
34,"667-88-5438",938593
35,"775-26-1206",504657
36,"723-13-7731",799463
37,"377-16-0536",491255
38,"588-25-0202",513844
39,"573-50-0347",891802
40,"801-64-4471",978517
41,"354-16-2062",453664
42,"837-86-6353",934198
43,"471-02-2438",479064
44,"745-84-5503",119463
45,"542-35-2342",921380
46,"161-78-0226",859642
47,"100-74-7353",875968
48,"821-51-0773",819522
49,"500-88-5554",508789
50,"362-64-7780",486432
51,"671-68-5564",488378
52,"060-11-2111",735152
53,"682-81-7633",166259
54,"710-87-8515",886484
55,"804-18-1012",785944
56,"117-77-0065",339664
57,"624-13-0454",264074
58,"328-13-7268",338186
59,"461-25-2550",622604
60,"347-47-0667",100312
61,"134-35-4852",953612
62,"105-66-5586",371217
63,"345-71-0885",404171
64,"636-02-3822",293741
65,"583-85-7164",175816
66,"803-22-4017",745468
67,"824-65-1518",787019
68,"348-74-5400",509567
69,"075-68-1033",102078
70,"428-12-4181",948917
71,"606-32-8656",146453
72,"810-82-6185",605422
73,"773-36-5267",502583
74,"011-20-5434",190317
75,"181-68-1544",436059
76,"816-73-7264",391229
77,"637-18-8217",898141
78,"427-26-4174",709658
79,"232-33-8711",982991
80,"323-08-2058",233397
81,"001-78-5567",324534
82,"478-83-4181",617911
83,"536-34-7814",536413
84,"478-07-6871",182430
85,"031-21-8088",945989
86,"842-34-2305",713812
87,"652-07-4277",987558
88,"458-65-8450",845826
89,"760-55-5756",184192
90,"664-42-2061",873995
91,"872-51-8188",633032
92,"623-81-7544",772698
93,"170-78-2658",113885
94,"481-16-5303",781225
95,"682-58-1827",687656
96,"504-33-0552",412887
97,"134-40-3885",490164
98,"438-28-8232",277195
99,"418-87-2656",758499
100,"160-61-7604",690327
1,"348-14-6088",837746
2,"285-83-6186",941138
3,"811-84-3310",856837
4,"773-80-8680",449878
5,"171-24-1530",853953
6,"110-44-7471",313244
7,"425-86-2712",423629
8,"830-04-7362",894242
9,"564-28-0407",914886
10,"077-14-3850",606646
11,"748-68-5701",416397
1,"348-14-6088",647970
2,"285-83-6186",596142
3,"811-84-3310",936309
4,"773-80-8680",902469
5,"171-24-1530",692806
6,"110-44-7471",966008
7,"425-86-2712",453379
8,"830-04-7362",102553
9,"564-28-0407",339882
10,"077-14-3850",624317
11,"748-68-5701",633699
12,"031-57-1657",959516
13,"142-35-0766",157225
14,"145-28-6565",297956
15,"112-63-6481",222776
16,"853-42-5384",564205
17,"832-23-2782",606233
18,"702-72-3427",171077
19,"010-51-1700",884756
20,"355-41-2463",994501
21,"725-05-6638",698595
22,"105-78-4218",536228
23,"043-88-2028",867508
24,"865-72-7506",490763
25,"565-50-8781",334418
26,"358-87-6367",593100
27,"778-08-5267",903279
28,"322-56-6040",205968
29,"417-50-2805",598087
30,"478-77-0168",689985
31,"057-47-0307",594356
32,"731-01-3327",662098
33,"084-76-7037",938202
34,"667-88-5438",962252
35,"775-26-1206",961263
36,"723-13-7731",810076
37,"377-16-0536",274031
38,"588-25-0202",591866
39,"573-50-0347",245824
40,"801-64-4471",535770
41,"354-16-2062",978111
42,"837-86-6353",415716
43,"471-02-2438",299952
44,"745-84-5503",329705
45,"542-35-2342",943121
46,"161-78-0226",497963
47,"100-74-7353",785927
48,"821-51-0773",324509
49,"500-88-5554",894553
50,"362-64-7780",389519
51,"671-68-5564",491151
52,"060-11-2111",968194
53,"682-81-7633",793966
54,"710-87-8515",399180
55,"804-18-1012",341687
56,"117-77-0065",731787
57,"624-13-0454",129611
58,"328-13-7268",702148
59,"461-25-2550",619786
60,"347-47-0667",147820
61,"134-35-4852",245041
62,"105-66-5586",256272
63,"345-71-0885",538276
64,"636-02-3822",528806
65,"583-85-7164",748636
66,"803-22-4017",793513
67,"824-65-1518",578061
68,"348-74-5400",718475
69,"075-68-1033",708412
70,"428-12-4181",555050
71,"606-32-8656",629435
72,"810-82-6185",559102
73,"773-36-5267",486366
74,"011-20-5434",690581
75,"181-68-1544",512456
76,"816-73-7264",325499
77,"637-18-8217",740423
78,"427-26-4174",128486
79,"232-33-8711",639164
80,"323-08-2058",907494
81,"001-78-5567",738146
82,"478-83-4181",384953
83,"536-34-7814",829600
84,"478-07-6871",542801
85,"031-21-8088",975106
86,"842-34-2305",786119
87,"652-07-4277",867987
88,"458-65-8450",929613
89,"760-55-5756",846496
90,"664-42-2061",313552
91,"872-51-8188",550608
92,"623-81-7544",148721
93,"170-78-2658",232959
94,"481-16-5303",963651
95,"682-58-1827",736009
96,"504-33-0552",496154
97,"134-40-3885",687814
98,"438-28-8232",284268
99,"418-87-2656",948918
100,"160-61-7604",795465
1,"348-14-6088",663513
2,"285-83-6186",722281
3,"811-84-3310",350775
4,"773-80-8680",201405
5,"171-24-1530",966827
6,"110-44-7471",448801
7,"425-86-2712",360809
8,"830-04-7362",526268
9,"564-28-0407",286092
10,"077-14-3850",527759
11,"748-68-5701",499673
1,"348-14-6088",661131
2,"285-83-6186",369887
3,"811-84-3310",275432
4,"773-80-8680",808594
5,"171-24-1530",555624
6,"110-44-7471",762879
7,"425-86-2712",886561
8,"830-04-7362",513014
9,"564-28-0407",316407
10,"077-14-3850",440016
11,"748-68-5701",401764
12,"031-57-1657",508230
13,"142-35-0766",923985
14,"145-28-6565",801835
15,"112-63-6481",812662
16,"853-42-5384",356122
17,"832-23-2782",473431
18,"702-72-3427",737900
19,"010-51-1700",844586
20,"355-41-2463",939769
21,"725-05-6638",456642
22,"105-78-4218",890000
23,"043-88-2028",606703
24,"865-72-7506",845495
25,"565-50-8781",956934
26,"358-87-6367",321981
27,"778-08-5267",692478
28,"322-56-6040",368064
29,"417-50-2805",238240
30,"478-77-0168",673563
31,"057-47-0307",681870
32,"731-01-3327",777264
33,"084-76-7037",403813
34,"667-88-5438",665895
35,"775-26-1206",766303
36,"723-13-7731",705762
37,"377-16-0536",151729
38,"588-25-0202",158024
39,"573-50-0347",792668
40,"801-64-4471",644920
41,"354-16-2062",902023
42,"837-86-6353",692156
43,"471-02-2438",939208
44,"745-84-5503",278589
45,"542-35-2342",964312
46,"161-78-0226",486860
47,"100-74-7353",336623
48,"821-51-0773",862262
49,"500-88-5554",874557
50,"362-64-7780",610974
51,"671-68-5564",365230
52,"060-11-2111",528142
53,"682-81-7633",833980
54,"710-87-8515",398836
55,"804-18-1012",158429
56,"117-77-0065",895867
57,"624-13-0454",254249
58,"328-13-7268",131556
59,"461-25-2550",331661
60,"347-47-0667",875388
61,"134-35-4852",398917
62,"105-66-5586",334434
63,"345-71-0885",258278
64,"636-02-3822",617639
65,"583-85-7164",342799
66,"803-22-4017",474119
67,"824-65-1518",533539
68,"348-74-5400",449494
69,"075-68-1033",394059
70,"428-12-4181",629570
71,"606-32-8656",241475
72,"810-82-6185",977829
73,"773-36-5267",226657
74,"011-20-5434",365108
75,"181-68-1544",682272
76,"816-73-7264",644723
77,"637-18-8217",793866
78,"427-26-4174",695534
79,"232-33-8711",683105
80,"323-08-2058",587448
81,"001-78-5567",881747
82,"478-83-4181",442460
83,"536-34-7814",672034
84,"478-07-6871",669493
85,"031-21-8088",520718
86,"842-34-2305",410191
87,"652-07-4277",559424
88,"458-65-8450",324972
89,"760-55-5756",800887
90,"664-42-2061",525457
91,"872-51-8188",387930
92,"623-81-7544",318698
93,"170-78-2658",393794
94,"481-16-5303",204716
95,"682-58-1827",334146
96,"504-33-0552",545250
97,"134-40-3885",547452
98,"438-28-8232",310058
99,"418-87-2656",452364
100,"160-61-7604",586491
1,"348-14-6088",694652
2,"285-83-6186",173469
3,"811-84-3310",419895
4,"773-80-8680",779174
5,"171-24-1530",610070
6,"110-44-7471",748563
7,"425-86-2712",865915
8,"830-04-7362",881170
9,"564-28-0407",835438
10,"077-14-3850",986189
11,"748-68-5701",346821
1,"348-14-6088",103068
2,"285-83-6186",180080
3,"811-84-3310",599592
4,"773-80-8680",124620
5,"171-24-1530",451275
6,"110-44-7471",241397
7,"425-86-2712",942932
8,"830-04-7362",818976
9,"564-28-0407",401810
10,"077-14-3850",526846
11,"748-68-5701",180603
12,"031-57-1657",324516
13,"142-35-0766",617226
14,"145-28-6565",580266
15,"112-63-6481",580037
16,"853-42-5384",116643
17,"832-23-2782",453624
18,"702-72-3427",244730
19,"010-51-1700",976236
20,"355-41-2463",165051
21,"725-05-6638",583807
22,"105-78-4218",383902
23,"043-88-2028",206067
24,"865-72-7506",166503
25,"565-50-8781",537534
26,"358-87-6367",260646
27,"778-08-5267",650232
28,"322-56-6040",289561
29,"417-50-2805",916759
30,"478-77-0168",427832
31,"057-47-0307",527165
32,"731-01-3327",682842
33,"084-76-7037",303720
34,"667-88-5438",480149
35,"775-26-1206",790949
36,"723-13-7731",763458
37,"377-16-0536",128968
38,"588-25-0202",823160
39,"573-50-0347",531655
40,"801-64-4471",431638
41,"354-16-2062",488969
42,"837-86-6353",372356
43,"471-02-2438",835972
44,"745-84-5503",751069
45,"542-35-2342",245270
46,"161-78-0226",274155
47,"100-74-7353",759974
48,"821-51-0773",321207
49,"500-88-5554",681980
50,"362-64-7780",943740
51,"671-68-5564",589329
52,"060-11-2111",747766
53,"682-81-7633",954545
54,"710-87-8515",745680
55,"804-18-1012",804568
56,"117-77-0065",747348
57,"624-13-0454",330994
58,"328-13-7268",528842
59,"461-25-2550",201603
60,"347-47-0667",555448
61,"134-35-4852",736430
62,"105-66-5586",655891
63,"345-71-0885",340721
64,"636-02-3822",903084
65,"583-85-7164",787660
66,"803-22-4017",729742
67,"824-65-1518",171370
68,"348-74-5400",882675
69,"075-68-1033",978250
70,"428-12-4181",466956
71,"606-32-8656",700638
72,"810-82-6185",141021
73,"773-36-5267",985348
74,"011-20-5434",774906
75,"181-68-1544",143046
76,"816-73-7264",663531
77,"637-18-8217",556696
78,"427-26-4174",579198
79,"232-33-8711",258384
80,"323-08-2058",690810
81,"001-78-5567",632431
82,"478-83-4181",756669
83,"536-34-7814",519150
84,"478-07-6871",103534
85,"031-21-8088",412898
86,"842-34-2305",360184
87,"652-07-4277",584077
88,"458-65-8450",273493
89,"760-55-5756",179611
90,"664-42-2061",221314
91,"872-51-8188",288995
92,"623-81-7544",522314
93,"170-78-2658",787651
94,"481-16-5303",226369
95,"682-58-1827",458190
96,"504-33-0552",824448
97,"134-40-3885",918569
98,"438-28-8232",206571
99,"418-87-2656",382853
100,"160-61-7604",608094
1,"348-14-6088",193839
2,"285-83-6186",348843
3,"811-84-3310",916133
4,"773-80-8680",546252
5,"171-24-1530",982861
6,"110-44-7471",651595
